The printer needs paper.	Der Drucker braucht Papier.
I really miss my husband.	Ich vermisse meinen Mann wirklich.
I received an invitation.	Ich habe eine Einladung bekommen.
I regard him as an enemy.	Ich betrachte ihn als Feind.
I regret having told you.	Ich bereue es, dass ich es dir gesagt habe.
I regret that I told you.	Ich bereue, dass ich es dir gesagt habe.
I rented a car yesterday.	Ich habe mir gestern einen Leihwagen genommen.
I said I didn't know Tom.	Ich sagte, ich kenne Tom nicht.
I said I didn't remember.	Ich sagte, ich erinnere mich nicht.
I saw Tom at the library.	Ich habe Tom in der Bibliothek gesehen.
I saw Tom hide something.	Ich habe gesehen, wie Tom etwas versteckte.
I saw a hippo at the zoo.	Ich sah ein Nilpferd im Zoo.
I saw a man with a child.	Ich sah einen Mann mit einem Kind.
I saw a whale tail today.	Ich sah heute eine Walflosse.
I saw her at the station.	Ich sah sie am Bahnhof.
I saw her clean the room.	Ich sah sie den Raum säubern.
I saw her play the piano.	Ich habe sie Klavier spielen sehen.
I saw him enter the room.	Ich sah ihn das Zimmer betreten.
I saw him enter the room.	Ich sah ihn ins Zimmer gehen.
I saw it from the window.	Ich habe es vom Fenster aus gesehen.
I see a bird on the roof.	Ich sehe einen Vogel auf dem Dach.
I see no cause for alarm.	Ich sehe keinen Grund zur Beunruhigung.
I see that it is raining.	Ich sehe, dass es regnet.
I seldom go to a library.	Ich gehe selten in Büchereien.
I sent Tom and Mary home.	Ich schickte Tom und Maria nach Hause.
I sent some money to Tom.	Ich schickte Tom etwas Geld.
I should be making lunch.	Ich sollte das Mittagessen machen.
I should've gone fishing.	Ich hätte fischen gehen sollen.
I should've gone hunting.	Ich hätte jagen gehen sollen.
I should've known better.	Ich hätte es besser wissen müssen.
I should've studied more.	Ich hätte mehr lernen sollen.
I shouldn't have done it.	Ich hätte es nicht machen sollen.
I shouldn't have done it.	Ich hätte es nicht tun sollen.
I simply don't trust Tom.	Ich vertraue Tom einfach nicht.
I slept lying on my face.	Ich schlief bäuchlings.
I smell something rotten.	Ich rieche etwas Fauliges.
I smoke almost every day.	Ich rauche fast täglich.
I speak a little Spanish.	Ich spreche ein bisschen Spanisch.
I spoke to Tom yesterday.	Ich habe gestern mit Tom gesprochen.
I spoke to him yesterday.	Ich habe gestern mit ihm gesprochen.
I stared her in the face.	Ich starrte ihr ins Gesicht.
I stayed at a nice hotel.	Ich wohnte in einem netten Hotel.
I still can't believe it!	Ich kann es noch immer nicht glauben!
I still don't believe it!	Ich glaube es noch immer nicht!
I still don't believe it.	Ich glaube es immer noch nicht.
I still haven't finished.	Ich bin noch nicht fertig.
I still haven't paid Tom.	Ich habe Tom noch nicht bezahlt.
I study French at school.	Ich lerne in der Schule Französisch.
I study French every day.	Ich lerne jeden Tag Französisch.
I study Japanese history.	Ich studiere die japanische Geschichte.
I sure hope you're right.	Ich hoffe wirklich, dass du recht hast.
I sure hope you're right.	Ich hoffe wirklich, dass ihr recht habt.
I sure hope you're right.	Ich hoffe wirklich, dass Sie recht haben.
I swear I didn't see Tom.	Ich schwöre, dass ich Tom nicht gesehen habe.
I swear I didn't see Tom.	Ich schwöre, dass ich Tom nicht getroffen habe.
I take my hat off to you.	Ich ziehe meinen Hut vor dir.
I taught Tom how to cook.	Ich brachte Tom das Kochen bei.
I taught him how to swim.	Ich habe ihm das Schwimmen beigebracht.
I teach French to adults.	Ich gebe Erwachsenen Französischunterricht.
I teach French to adults.	Ich unterrichte Erwachsene in Französisch.
I telephoned her at once.	Ich rief sie sofort an.
I think I'm going to cry.	Ich glaube, ich weine gleich.
I think I've seen enough.	Ich denke, ich habe genug gesehen.
I think Tom can help you.	Ich denke, Tom kann Ihnen helfen.
I think Tom hates my dog.	Ich glaube, Tom hasst meinen Hund.
I think Tom is a student.	Ich glaube, Tom ist Student.
I think Tom is conceited.	Ich finde, Tom ist eingebildet.
I think Tom is courteous.	Ich finde, Tom ist höflich.
I think Tom is dangerous.	Ich halte Tom für gefährlich.
I think Tom is miserable.	Ich denke, Tom ist unglücklich.
I think Tom lied to Mary.	Ich glaube, dass Tom Maria angelogen hat.
I think Tom should do it.	Ich finde, Tom sollte es tun.
I think about them often.	Ich denke oft an sie.
I think everybody's here.	Ich denke, jeder ist hier.
I think it will be sunny.	Ich denke, es wird sonnig.
I think it's a good idea.	Ich denke, dass es eine gute Idee ist.
I think it's a good idea.	Ich halte es für eine gute Idee.
I think it's around here.	Ich glaube, es ist ungefähr hier.
I think it's clearing up.	Ich glaube, es klart auf.
I think it's interesting.	Ich finde es interessant.
I think it's worth a try.	Ich denke, es ist einen Versuch wert.
I think that Tom is kind.	Ich denke, dass Tom freundlich ist.
I think that he is right.	Ich glaube, er hat recht.
I think we should go now.	Ich finde, wir sollten jetzt gehen.
I think you are mistaken.	Ich glaube, da irrst du dich.
I think you are mistaken.	Ich denke, du liegst verkehrt.
I think you are mistaken.	Ich denke, du liegst falsch.
I think you are mistaken.	Ich denke, du irrst dich.
I think you are mistaken.	Ich glaube, du irrst dich.
I think you dropped this.	Ich glaube, du hast das hier fallenlassen.
I think you dropped this.	Ich glaube, Sie haben das hier fallenlassen.
I think you should do it.	Ich finde, du solltest es tun.
I think you should do it.	Ich finde, Sie sollten es tun.
I think you should do it.	Ich finde, ihr solltet es tun.
I think you went too far.	Ich finde, du bist zu weit gegangen.
I think you went too far.	Ich finde, ihr seid zu weit gegangen.
I think you went too far.	Ich finde, Sie sind zu weit gegangen.
I think you will approve.	Ich denke, Sie werden zustimmen.
I think you will approve.	Ich denke, du wirst zustimmen.
I think you will approve.	Ich denke, ihr werdet zustimmen.
I think you're in danger.	Ich glaube, du bist in Gefahr.
I think you're too picky.	Ich glaube, du bist zu wählerisch.
I think you're very cute.	Ich finde dich wirklich süß.
I thought I heard voices.	Mir war, als hätte ich Stimmen gehört.
I thought I was dreaming.	Mir war, als ob ich träumte.
I thought Tom could help.	Ich dachte, Tom könne helfen.
I thought Tom was asleep.	Ich dachte, dass Tom schliefe.
I thought Tom was guilty.	Ich hielt Tom für schuldig.
I thought Tom was joking.	Ich dachte, Tom mache Witze!
I thought Tom was joking.	Ich dachte, Tom würde Witze machen!
I thought about it a lot.	Ich habe viel darüber nachgedacht.
I thought it was obvious.	Ich dachte, das sei offensichtlich.
I thought that went well.	Ich dachte, das hätte gut geklappt!
I thought you might come.	Ich dachte, du kämest vielleicht.
I thought you trusted me.	Ich dachte, du würdest mir vertrauen.
I thought you understood.	Ich dachte, du verstündest das.
I thought you were happy.	Ich dachte, du wärest glücklich.
I thought you were right.	Ich dachte, du hättest recht.
I thought you would come.	Ich nahm an, dass du kommen würdest.
I thought you'd be alone.	Ich dachte, ihr würdet allein sein.
I thought you'd be alone.	Ich dachte, du wärest allein.
I thought you'd be alone.	Ich dachte, Sie wären allein.
I thought you'd be alone.	Ich dachte, ihr wäret allein.
I thought you'd be older.	Ich hätte dich für älter gehalten.
I thought you'd be older.	Ich hätte Sie für älter gehalten.
I thought you'd say that.	Ich habe mir schon gedacht, dass du das sagen würdest.
I thought you'd say that.	Ich habe mir gedacht, dass Sie das sagen würden.
I told Tom I forgave him.	Ich sagte Tom, dass ich ihm verziehen habe.
I told Tom what Mary did.	Ich habe Tom gesagt, was Maria getan hat.
I took part in the party.	Ich nahm an dem Fest teil.
I totally agree with Tom.	Ich stimme Tom vollends zu.
I totally agree with you.	Ich stimme dir voll und ganz zu.
I traveled around Europe.	Ich reiste kreuz und quer durch Europa.
I usually agree with her.	Ich bin mit ihr gewöhnlich einer Meinung.
I usually agree with her.	Für gewöhnlich bin ich mit ihr einer Meinung.
I usually wake up at six.	Ich wache gewöhnlich um sechs Uhr auf.
I usually walk to school.	Ich gehe gewöhnlich zu Fuß zur Schule.
I usually walk to school.	Normalerweise gehe ich zu Fuß zur Schule.
I visited her in Germany.	Ich besuchte sie in Deutschland.
I visited her in Germany.	Ich habe sie in Deutschland besucht.
I waited for ten minutes.	Ich habe zehn Minuten lang gewartet.
I waited for ten minutes.	Ich wartete zehn Minuten.
I want Tom off this ship.	Ich will, dass Tom von diesem Schiff verschwindet.
I want a book in Swedish.	Ich möchte ein Buch in Schwedisch.
I want a book in Swedish.	Ich möchte ein Buch in schwedischer Sprache.
I want a good dictionary.	Ich will ein gutes Wörterbuch.
I want an English muffin.	Ich möchte einen englischen Muffin.
I want my money back now.	Ich will jetzt mein Geld zurückhaben.
I want something to read.	Ich möchte etwas zum Lesen.
I want to be an engineer.	Ich will Ingenieur werden.
I want to be an engineer.	Ich möchte ein Ingenieur werden.
I want to be happy again.	Ich will wieder glücklich sein.
I want to be young again.	Ich will noch einmal jung sein.
I want to change my life.	Ich will mein Leben verändern.
I want to change my life.	Ich will mein Leben ändern.
I want to come back here.	Ich möchte wieder hierherkommen.
I want to find true love.	Ich will die wahre Liebe finden.
I want to go there again.	Da will ich nochmal hin.
I want to go to the city.	Ich möchte in die Stadt gehen.
I want to hear the truth.	Ich will die Wahrheit hören.
I want to hold your hand.	Ich möchte deine Hand halten.
I want to hold your hand.	Ich möchte Ihre Hand halten.
I want to learn Japanese.	Ich will Japanisch lernen.
I want to live in a town.	Ich möchte in einer Stadt leben.
I want to look different.	Ich will anders aussehen.
I want to make her happy.	Ich möchte sie glücklich machen.
I want to read that book.	Dieses Buch will ich lesen.
I want to read this book.	Ich will dieses Buch lesen.
I want to see Tom so bad.	Ich will Tom so gern sehen.
I want to see them again.	Ich möchte sie wiedersehen.
I want to see your house.	Ich möchte dein Haus sehen.
I want to see your house.	Ich möchte euer Haus sehen.
I want to see your house.	Ich möchte Ihr Haus sehen.
I want to speak with Tom.	Ich möchte mit Tom sprechen.
I want to speak with you.	Ich möchte mit dir reden.
I want to speak with you.	Ich möchte mit Ihnen reden.
I want to test my limits.	Ich will meine Grenzen austesten.
I want to test my limits.	Ich will meine Grenzen der Probe unterziehen.
I want to think about it.	Ich möchte darüber nachdenken.
I want us to be together.	Ich will, dass wir zusammen sind.
I want you to dig a hole.	Ich möchte, dass du ein Loch gräbst.
I want your opinion, too.	Ich bin auch an deiner Ansicht interessiert.
I want your opinion, too.	Ich bin auch an eurer Ansicht interessiert.
I want your opinion, too.	Ich bin auch an Ihrer Ansicht interessiert.
I wanted to buy the book.	Ich wollte das Buch kaufen.
I wanted to hire a coach.	Ich wollte einen Bus mieten.
I wanted to hire a coach.	Ich wollte einen Reisebus mieten.
I wanted to surprise Tom.	Ich wollte Tom überraschen.
I wanted to surprise her.	Ich wollte sie überraschen.
I was a little surprised.	Ich war ein wenig überrascht.
I was accustomed to heat.	Ich war an die Wärme gewöhnt.
I was afraid I'd be late.	Ich fürchtete zu spät zu sein.
I was angry and confused.	Ich war wütend und verwirrt.
I was asked to wait here.	Ich wurde gebeten, hier zu warten.
I was at a movie theater.	Ich war im Kino.
I was aware of that fact.	Ich war mir dieser Tatsache bewusst.
I was beginning to worry.	Ich fing langsam an, mir Sorgen zu machen.
I was born in the winter.	Ich bin im Winter geboren.
I was busy the whole day.	Ich war den ganzen Tag beschäftigt.
I was given a new jacket.	Man hat mir eine neue Jacke gegeben.
I was given a new jacket.	Man gab mir eine neue Jacke.
I was hungry and thirsty.	Ich war hungrig und durstig.
I was in Tokyo yesterday.	Gestern war ich in Tokio.
I was lonely without her.	Ich war einsam ohne sie.
I was moved by his tears.	Seine Tränen haben mich bewegt.
I was not born yesterday.	Ich bin nicht von gestern.
I was on a trip to India.	Ich war auf einer Reise nach Indien.
I was on the wrong track.	Ich war auf dem Holzweg.
I was playing the violin.	Ich spielte Geige.
I was raised in Yokohama.	Ich bin in Yokohama aufgewachsen.
I was slightly surprised.	Ich war ein wenig überrascht.
I was so happy back then.	Ich war damals so glücklich.
I was taken advantage of.	Ich wurde ausgenutzt.
I was taken advantage of.	Ich bin ausgenutzt worden.
I was the only man there.	Ich war der einzige Mann dort.
I was too happy to sleep.	Ich war zu glücklich, um zu schlafen.
I was trying to be funny.	Ich versuchte, lustig zu sein.
I was ushered to my seat.	Ich wurde an meinen Platz geführt.
I was waiting for a taxi.	Ich wartete auf ein Taxi.
I was young and innocent.	Ich war jung und unschuldig.
I wash clothes every day.	Ich wasche jeden Tag Wäsche.
I wash my hair every day.	Ich wasche mir jeden Tag die Haare.
I went there to meet him.	Ich ging dorthin, um ihn zu treffen.
I went to the wrong door.	Ich habe die Tür verwechselt.
I will be busy next week.	Nächste Woche bin ich beschäftigt.
I will be busy next week.	Ich werde nächste Woche beschäftigt sein.
I will be sixteen in May.	Ich werde sechzehn im Mai.
I will be sixteen in May.	Im Mai werde ich sechzehn.
I will come by all means.	Ich komme auf jeden Fall.
I will explain it to her.	Ich werde es ihr erklären.
I will explain it to her.	Ich erkläre es ihr.
I will explain it to him.	Ich werde es ihm erklären.
I will go to the meeting.	Ich werde zu dem Treffen gehen.
I will help him tomorrow.	Ich werde ihm morgen helfen.
I will make a man of you.	Ich werde einen Mann aus dir machen.
I will never do it again.	Ich werde es nie wieder tun.
I will never forget this.	Ich werde das nie vergessen.
I will never forgive you.	Ich werde dir nie verzeihen.
I will never forgive you.	Ich werde dir nie vergeben.
I will not let you do it.	Ich werde es nicht zulassen, dass du das tust.
I will not let you do it.	Ich werde dich das nicht tun lassen.
I will try to do my best.	Ich werde versuchen, mein Bestes zu tun.
I wish I could use magic.	Ich wünschte ich könnte zaubern.
I wish I had been a bird.	Ich wünschte, ich wäre ein Vogel gewesen.
I wish I had married her.	Ich wünschte, ich hätte sie geheiratet.
I wish I lived in Boston.	Ich wünschte, ich wohnte in Boston.
I wish I looked like Tom.	Ich wünschte, ich sähe aus wie Tom!
I wish I was young again.	Ich wünschte, ich wäre wieder jung.
I wish Tom understood me.	Schön wär’s, wenn Tom mich verstünde.
I wish today were Friday.	Ich wünsche, dass heute Freitag wäre.
I wish you'd come sooner.	Ich wünschte, du kämest früher.
I won't answer questions.	Ich antworte auf keine Fragen.
I won't answer questions.	Ich beantworte keine Fragen.
I won't be here tomorrow.	Morgen werde ich nicht hier sein.
I won't be wearing a tie.	Ich werde keine Krawatte anziehen.
I won't go there anymore.	Ich werde nicht mehr dorthin gehen.
I won't leave you behind.	Ich lasse dich nicht zurück.
I won't let you go alone.	Ich werde dich nicht allein gehen lassen.
I won't let you go alone.	Ich werde euch nicht allein gehen lassen.
I won't let you go alone.	Ich werde Sie nicht allein gehen lassen.
I won't let you go there.	Ich werde dich nicht dorthin gehen lassen.
I wonder if he's at home.	Ich frage mich, ob er wohl zu Hause ist.
I wonder if this is love.	Ich frage mich, ob das Liebe ist.
I wonder what that means.	Ich frage mich, was das bedeutet.
I wonder what time it is.	Ich frage mich, wie spät es ist.
I wonder where she lives.	Ich frage mich, wo sie wohnt.
I wonder who invented it.	Ich frage mich, wer es erfunden hat.
I wonder who invented it.	Ich frage mich, wer das erfunden hat.
I worked in this factory.	Ich habe in dieser Fabrik gearbeitet.
I would like to be alone.	Ich möchte allein sein.
I would like to help you.	Ich möchte dir helfen.
I would like to help you.	Ich möchte euch helfen.
I would like to help you.	Ich möchte Ihnen helfen.
I would like to meet him.	Ich würde mich gern mit ihm treffen.
I would like to meet him.	Ich würde ihn gern treffen.
I would like to meet you.	Ich möchte mich gerne mit dir treffen.
I would like to meet you.	Ich möchte dich gerne kennenlernen.
I would never betray you.	Ich würde dich niemals hintergehen!
I would never lie to you.	Ich würde dich nie belügen.
I would never lie to you.	Ich belöge dich nie.
I would rather stay here.	Ich würde lieber hier bleiben.
I would've let Tom do it.	Ich hätte das Tom machen lassen.
I wouldn't take that bet.	Die Wette nehme ich nicht an!
I write almost every day.	Ich schreibe fast jeden Tag.
I wrote a letter to Mary.	Ich habe Maria einen Brief geschrieben.
I wrote the song for her.	Ich habe dieses Lied für sie geschrieben.
I'd appreciate your help.	Ich würde mich über deine Hilfe freuen.
I'd appreciate your help.	Ich würde es sehr schätzen, wenn du mir helfen würdest.
I'd be happy to help you.	Ich würde mich freuen, Ihnen zu helfen.
I'd be happy to help you.	Ich würde mich freuen, euch zu helfen.
I'd be happy to help you.	Ich würde mich freuen, dir zu helfen.
I'd like a gin and tonic.	Ich hätte gern einen Gin Tonic.
I'd like a glass of beer.	Ich hätte gern ein Glas Bier.
I'd like a glass of wine.	Ich hätte gerne ein Glas Wein.
I'd like some more water.	Ich hätte gern noch etwas Wasser.
I'd like to be a teacher.	Ich wäre gerne Lehrer.
I'd like to be alone now.	Ich möchte jetzt allein sein.
I'd like to get a refund.	Ich hätte gerne eine Kostenerstattung.
I'd like to go to France.	Ich würde gerne nach Frankreich gehen.
I'd like to go to France.	Ich möchte gern nach Frankreich gehen.
I'd like to go to Hawaii.	Ich würde gerne nach Hawaii gehen.
I'd like to go to London.	Ich möchte nach London gehen.
I'd like to have a spoon.	Ich hätte gerne einen Löffel.
I'd like to learn French.	Ich möchte gerne Französisch lernen.
I'd like to pay by check.	Ich möchte per Scheck zahlen.
I'd like to speak to Tom.	Ich möchte mit Tom sprechen.
I'd like to study French.	Ich möchte gerne Französisch lernen.
I'd like you to go there.	Ich hätte gern, dass du dorthin gehst.
I'd like you to go there.	Ich möchte gerne, dass du dorthin gehst.
I'd like you to help Tom.	Ich möchte, dass du Tom hilfst.
I'd like you to help Tom.	Ich möchte, dass ihr Tom helft.
I'd like you to help Tom.	Ich möchte, dass Sie Tom helfen.
I'd love to sing for you.	Ich würde sehr gerne für dich singen.
I'd love to sing for you.	Ich würde sehr gerne für Sie singen.
I'd love to sing for you.	Ich würde sehr gerne für euch singen.
I'd love to visit Boston.	Ich würde sehr gerne Boston besuchen.
I'd love to, but I can't.	Ich würde gern, doch kann ich nicht.
I'd never been so afraid.	Ich hatte mich noch nie so sehr gefürchtet.
I'd never do that to you.	Ich würde dir das nie antun.
I'd never do that to you.	Ich würde euch das nie antun.
I'd never do that to you.	Das würde ich Ihnen nie antun.
I'd prefer not to answer.	Ich würde lieber nicht antworten.
I'd prefer not to answer.	Ich würde es vorziehen, nicht zu antworten.
I'd really appreciate it.	Ich würde es sehr schätzen.
I'd say no if I were you.	Ich würde an deiner Stelle ablehnen.
I'd say no if I were you.	Ich würde an Ihrer Stelle ablehnen.
I'll always remember you.	Ich werde mich immer an Sie erinnern.
I'll answer you tomorrow.	Ich werde dir morgen antworten.
I'll answer you tomorrow.	Ich werde Ihnen morgen antworten.
I'll answer you tomorrow.	Ich werde euch morgen antworten.
I'll be able to help you.	Ich werde dir helfen können.
I'll be able to help you.	Ich werde euch helfen können.
I'll be able to help you.	Ich werde in der Lage sein, Ihnen zu helfen.
I'll be back after lunch.	Ich werde nach dem Essen zurück sein.
I'll be back after lunch.	Ich bin nach dem Mittagessen zurück.
I'll be ready in a jiffy.	Ich bin gleich fertig.
I'll be ready in a jiffy.	Ich bin gleich so weit.
I'll be right behind you.	Ich werde gleich hinter dir sein.
I'll be right there, Tom.	Ich bin gleich da, Tom.
I'll be seeing him again.	Ich werde ihn wiedersehen.
I'll be there right away.	Ich komme gleich.
I'll call him back later.	Ich werde ihn später zurückrufen.
I'll call you back later.	Ich rufe Sie später zurück.
I'll call you back later.	Ich rufe dich später zurück.
I'll call you back later.	Ich rufe euch später zurück.
I'll cook bacon and eggs.	Ich werde Eier mit Frühstücksspeck zubereiten.
I'll do any kind of work.	Ich werde jede Art von Arbeit machen.
I'll do anything you say.	Ich werde alles tun, was du sagst.
I'll do everything I can.	Ich werde mein Möglichstes tun.
I'll do whatever you ask.	Ich werde alles tun, was du verlangst.
I'll do whatever you ask.	Ich werde alles tun, was ihr verlangt.
I'll do whatever you ask.	Ich werde alles tun, was Sie verlangen.
I'll drive you somewhere.	Ich fahre dich irgendwo hin.
I'll eat something light.	Ich werde etwas Leichtes essen.
I'll find out eventually.	Ich werde es letzten Endes herausbekommen.
I'll follow you anywhere.	Ich werde dir überallhin folgen.
I'll give you an example.	Ich werde dir ein Beispiel nennen.
I'll give you my opinion.	Ich werde Ihnen meine Meinung sagen.
I'll give you this money.	Ich gebe dir dieses Geld.
I'll give you until 2:30.	Ich gebe dir bis halb drei.
I'll go and look for Tom.	Ich gehe Tom suchen.
I'll go and look for Tom.	Ich mache mich mal auf die Suche nach Tom.
I'll leave Tokyo tonight.	Ich werde Tokio heute Abend verlassen.
I'll leave you two alone.	Ich lasse euch zwei allein.
I'll leave you two alone.	Ich werde euch zwei allein lassen.
I'll let it go this time.	Dieses Mal werde ich ein Auge zudrücken.
I'll make you a new suit.	Ich werde dir ein neues Kostüm machen.
I'll need some more time.	Ich werde ein wenig mehr Zeit benötigen.
I'll need to download it.	Ich werde es mir wohl herunterladen müssen.
I'll never be late again.	Ich werde nie wieder zu spät kommen.
I'll never be late again.	Ich werde mich nie wieder verspäten.
I'll never do that again.	Das werde ich nie wieder tun.
I'll never do that again.	Ich werde das nie wieder tun.
I'll never get over that.	Darüber werde ich nie hinwegkommen.
I'll never see Tom again.	Ich werde Tom niemals wiedersehen.
I'll never see Tom again.	Ich werde Tom nie mehr wiedersehen.
I'll never see her again.	Ich werde sie nie wieder sehen.
I'll pick you up at 2:30.	Ich hole dich um 2.30 Uhr ab.
I'll pick you up at 2:30.	Ich hole dich um halb drei ab.
I'll see him next Friday.	Ich werde ihn nächsten Freitag sehen.
I'll see you to your car.	Ich bringe Sie zum Wagen.
I'll see you to your car.	Ich bringe dich zum Wagen.
I'll see you to your car.	Ich bringe euch zum Wagen.
I'll send you a postcard.	Ich schicke dir eine Postkarte.
I'll send you a postcard.	Ich schicke Ihnen eine Postkarte.
I'll send you a postcard.	Ich schicke euch eine Postkarte.
I'll show you my new car.	Ich werde dir mein neues Auto zeigen.
I'll sleep when I'm dead.	Schlafen werde ich, wenn ich tot bin.
I'll stay here until ten.	Ich werde bis zehn Uhr hierbleiben.
I'll stay home and study.	Ich werde zu Hause bleiben und lernen.
I'll stay until tomorrow.	Ich werde bis morgen bleiben.
I'll study hard tomorrow.	Morgen werde ich fleißig studieren.
I'll take responsibility.	Ich übernehme die Verantwortung.
I'll take the next train.	Ich fahre mit dem nächsten Zug.
I'll take the yellow one.	Ich würde das gelbe nehmen.
I'll take the yellow one.	Ich nehme das Gelbe.
I'll take the yellow one.	Ich nehme den Gelben.
I'll take the yellow one.	Ich nehme die Gelbe.
I'll tell you afterwards.	Ich werde es dir anschließend sagen.
I'll tell you what it is.	Ich werde dir sagen, was das ist.
I'm Tom and this is Mary.	Ich bin Tom und das hier ist Maria.
I'm a great baseball fan.	Ich bin ein großer Freund des Baseball.
I'm a long way from home.	Ich bin weit von zu Hause weg.
I'm a member of the team.	Ich bin ein Mitglied der Mannschaft.
I'm a university student.	Ich bin Student.
I'm a very good listener.	Ich kann sehr gut zuhören.
I'm able to speak French.	Ich kann Französisch sprechen.
I'm afraid it won't work.	Ich fürchte, dass es nicht funktionieren wird.
I'm almost finished here.	Ich bin hier fast fertig.
I'm as tall as my father.	Ich bin genauso groß wie mein Vater.
I'm at Tokyo Station now.	Ich bin gerade auf dem Bahnhof Tōkyō.
I'm awaiting inspiration.	Ich warte auf Inspiration.
I'm calling to thank you.	Ich rufe an, um mich zu bedanken.
I'm coming to your party.	Ich komme zu deiner Party.
I'm coming to your party.	Ich komme zu eurer Fete.
I'm coming to your party.	Ich komme zu Ihrem Fest.
I'm completely exhausted.	Ich bin fix und fertig.
I'm counting on you guys.	Ich zähle auf euch.
I'm crazy about football.	Ich bin verrückt nach American Football.
I'm delighted to be here.	Ich bin hocherfreut hierzusein.
I'm doing the best I can.	Ich tue mein Bestes.
I'm fed up with homework.	Ich bin müde von den Hausaufgaben.
I'm feeding the goldfish.	Ich füttere den Goldfisch.
I'm feeling fine, thanks.	Es geht mir gut. Danke!
I'm glad to see you back.	Es freut mich, dich wiederzusehen.
I'm glad to see you here.	Ich freue mich, dich hier zu sehen!
I'm glad to see you, Tom.	Ich freue mich, dich zu sehen, Tom.
I'm glad you're all here.	Ich bin froh, dass ihr alle hier seid.
I'm going out in an hour.	Ich werde in einer Stunde gehen.
I'm going to Tom's house.	Ich gehe zu Tom.
I'm going to be a father.	Ich werde Vater.
I'm going to be an uncle.	Ich werde Onkel.
I'm going to go find Tom.	Ich werde Tom finden.
I'm going to hit the hay.	Ich hau mich aufs Ohr.
I'm going to kill myself.	Ich werde mir das Leben nehmen.
I'm going to regret this.	Das werde ich bereuen.
I'm going to shut up now.	Ich werde jetzt die Klappe halten.
I'm going to sleep on it.	Ich werde darüber schlafen.
I'm going to take a bath.	Ich werde ein Bad nehmen.
I'm going to take my car.	Ich werde das Auto nehmen.
I'm going to wash my car.	Ich werde mein Auto waschen.
I'm grateful to be alive.	Ich bin froh, am Leben zu sein.
I'm grateful to be alive.	Ich bin dankbar, dass ich noch lebe.
I'm happy for all of you.	Ich freue mich für euch alle.
I'm heavier than you are.	Ich bin schwerer als du.
I'm here to buy supplies.	Ich bin hier, um Vorräte zu kaufen.
I'm in a really bad mood.	Ich bin wirklich schlechter Laune.
I'm in low spirits today.	Ich bin heute niedergeschlagen.
I'm in low spirits today.	Ich bin heute deprimiert.
I'm interested in French.	Ich interessiere mich für Französisch.
I'm just a little wheezy.	Ich bin nur ein bisschen außer Puste.
I'm just a little wheezy.	Ich bin bloß ein klein wenig außer Atem.
I'm just an average girl.	Ich bin nur ein ganz normales Mädchen.
I'm just being realistic.	Ich bin lediglich realistisch.
I'm just getting started.	Ich fange gerade an.
I'm just looking for Tom.	Ich suche gerade Tom.
I'm just not very hungry.	Ich habe einfach nicht viel Hunger.
I'm learning how to type.	Ich lerne Maschineschreiben.
I'm leaving you tomorrow.	Ich verlasse dich morgen.
I'm looking for my watch.	Ich suche meine Uhr.
I'm no busier than usual.	Ich bin nicht geschäftiger als sonst.
I'm no busier than usual.	Ich habe nicht mehr zu tun als sonst.
I'm not a baby, you know!	Ich bin doch kein Baby!
I'm not a morning person.	Ich bin kein Morgenmensch.
I'm not a patient person.	Ich bin kein geduldiger Mensch.
I'm not a violent person.	Ich bin kein gewalttätiger Mensch.
I'm not afraid of anyone.	Ich fürchte niemanden.
I'm not afraid of anyone.	Ich habe vor niemandem Angst.
I'm not an expert either.	Ich bin auch nicht vom Fach.
I'm not an expert either.	Ich bin auch kein Fachmann.
I'm not as tall as he is.	Ich bin nicht so groß wie er.
I'm not at all surprised.	Ich bin kein bisschen überrascht.
I'm not cleaning that up.	Ich werde das nicht sauber machen.
I'm not concerned at all.	Ich bin überhaupt nicht besorgt.
I'm not convinced at all.	Ich bin überhaupt nicht überzeugt.
I'm not convinced at all.	Ich bin alles andere als überzeugt.
I'm not doing that today.	Heute mache ich das nicht mehr.
I'm not easily impressed.	Ich bin nicht leicht zu beeindrucken.
I'm not going to do that.	Das mache ich nicht.
I'm not going to do this.	Das mache ich nicht.
I'm not going to read it.	Das werde ich nicht lesen.
I'm not going to sell it.	Ich werde es nicht verkaufen.
I'm not here to help you.	Ich bin nicht hier, um dir zu helfen.
I'm not here to help you.	Ich bin nicht hier, um euch zu helfen.
I'm not here to help you.	Ich bin nicht hier, um Ihnen zu helfen.
I'm not hungry right now.	Ich habe jetzt keinen Hunger.
I'm not in love with you.	Ich bin nicht in dich verliebt.
I'm not inspired anymore.	Ich bin nicht mehr inspiriert.
I'm not overly concerned.	Ich mache mir nicht übermäßig viel Sorgen.
I'm not ready for it yet.	Ich bin dazu noch nicht bereit.
I'm not signing anything.	Ich werde nichts unterschreiben.
I'm not sure of anything.	Ich bin mir bei nichts sicher.
I'm not sure that's true.	Ich bin mir nicht sicher, ob das stimmt.
I'm not worried about it.	Das macht mir keine Sorgen.
I'm not worried about it.	Das beunruhigt mich nicht.
I'm on the football team.	Ich bin in der Footballmannschaft.
I'm on the football team.	Ich bin in der Fußballmannschaft.
I'm only thinking of you.	Ich denke nur an dich.
I'm painting Easter eggs.	Ich bemale gerade Ostereier.
I'm pretty sure about it.	Ich bin mir dessen ziemlich sicher.
